Date,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA
2016-03-07,23.071569442749023,44.90073776245117,35.372737884521484,28.139999389648438,104.99657440185547,0.7917300462722778,13.685999870300293
2016-03-08,22.881319046020508,45.446258544921875,35.408958435058594,28.01300048828125,105.19517517089844,0.7772858142852783,13.506667137145996
2016-03-09,22.901704788208008,46.49333572387695,35.998504638671875,27.973499298095703,106.76422119140625,0.7767961025238037,13.914667129516602
2016-03-10,22.913034439086914,45.7982177734375,36.333980560302734,27.946500778198242,106.57553100585938,0.7755721807479858,13.678667068481445
2016-03-11,23.159893035888672,46.695709228515625,36.96420669555664,28.480499267578125,108.65103149414062,0.7887923717498779,13.833333015441895
2016-03-14,23.218774795532227,46.78369903564453,37.2307014465332,28.668500900268555,109.1277084350586,0.7907509803771973,14.34333324432373
2016-03-15,23.68532371520996,47.15325164794922,37.247074127197266,28.85099983215332,109.90229034423828,0.7868338227272034,14.555999755859375
2016-03-16,24.00013542175293,47.821956634521484,37.584022521972656,28.713499069213867,111.40182495117188,0.8103359341621399,14.795332908630371
2016-03-17,23.961641311645508,48.09474563598633,37.63960647583008,27.972000122070312,110.24986267089844,0.8034810423851013,15.092000007629395
2016-03-18,23.988813400268555,47.06526565551758,37.48725891113281,27.604000091552734,110.67688751220703,0.8277178406715393,15.515999794006348
2016-03-21,23.98654556274414,47.39082717895508,37.822227478027344,27.698999404907227,111.07411193847656,0.8301660418510437,15.887999534606934
2016-03-22,24.16999053955078,47.57559585571289,37.71751403808594,28.02400016784668,111.4713363647461,0.8286969065666199,15.616000175476074
2016-03-23,24.0363712310791,47.487613677978516,37.59394836425781,28.48150062561035,111.75933074951172,0.8428961038589478,14.838666915893555
2016-03-24,23.932188034057617,47.69878005981445,37.4589729309082,29.147499084472656,112.26580047607422,0.8441202044487,15.183333396911621
2016-03-28,23.823476791381836,47.109275817871094,37.381553649902344,28.993499755859375,112.90135955810547,0.852688729763031,15.350666999816895
2016-03-29,24.387418746948242,48.13873291015625,38.007328033447266,29.69300079345703,115.33434295654297,0.8663984537124634,15.342000007629395
2016-03-30,24.81319808959961,48.437889099121094,38.12890625,29.934499740600586,113.90433502197266,0.8754564523696899,15.12600040435791
2016-03-31,24.684104919433594,48.59627914428711,37.858951568603516,29.68199920654297,113.3084945678711,0.8722741603851318,15.317999839782715
2016-04-01,24.910585403442383,48.89542770385742,38.19491195678711,29.924999237060547,115.25489044189453,0.8850043416023254,15.839332580566406
2016-04-04,25.1665096282959,48.77225112915039,37.969120025634766,29.659500122070312,111.7692642211914,0.8764358758926392,16.465999603271484
2016-04-05,24.869815826416016,48.00675964355469,37.64406967163086,29.30699920654297,111.44154357910156,0.875211775302887,17.031333923339844
2016-04-06,25.130277633666992,48.499481201171875,38.115509033203125,30.104000091552734,112.92121124267578,0.8764358758926392,17.69466781616211
2016-04-07,24.582185745239258,47.918758392333984,37.72099304199219,29.571500778198242,112.85169219970703,0.867377519607544,17.14666748046875
2016-04-08,24.609371185302734,47.88356399536133,37.68873596191406,29.729999542236328,109.8625717163086,0.8730086088180542,16.67133331298828
2016-04-11,24.690898895263672,47.78678894042969,37.59295654296875,29.796499252319336,108.23395538330078,0.878394365310669,16.661333084106445
2016-04-12,25.012508392333984,48.085941314697266,37.92941665649414,30.15850067138672,109.84271240234375,0.8774150013923645,16.521333694458008
2016-04-13,25.3748722076416,48.70186996459961,38.306068420410156,30.740999221801758,109.743408203125,0.8994483351707458,16.968666076660156
2016-04-14,25.388460159301758,48.71066665649414,38.47876739501953,31.037500381469727,110.07110595703125,0.9018964767456055,16.790666580200195
2016-04-15,24.878873825073242,48.965824127197266,38.70753860473633,31.29450035095215,108.87944030761719,0.9089962840080261,16.96733283996582
2016-04-18,24.342119216918945,49.67854690551758,39.08865737915039,31.767499923706055,109.68383026123047,0.9050790071487427,16.92533302307129
2016-04-19,24.213027954101562,49.616943359375,38.52144241333008,31.395000457763672,111.51105499267578,0.888921320438385,16.4913330078125
2016-04-20,24.262853622436523,48.91302490234375,38.45543670654297,31.649499893188477,111.6401596069336,0.8923487067222595,16.6646671295166
2016-04-21,24.00013542175293,49.08021926879883,38.70753860473633,31.549999237060547,112.65308380126953,0.891369640827179,16.55266761779785
2016-04-22,23.934459686279297,45.56065368652344,36.61186981201172,31.024999618530273,109.79305267333984,0.8879420757293701,16.916667938232422
2016-04-25,23.798568725585938,45.851009368896484,36.83220672607422,31.309999465942383,109.33624267578125,0.8923487067222595,16.788000106811523
2016-04-26,23.633243560791016,45.261497497558594,35.996524810791016,30.8439998626709,108.00556182861328,0.8930830359458923,16.916000366210938
2016-04-27,22.15431785583496,44.821533203125,35.802490234375,30.328500747680664,108.1346435546875,0.9134026169776917,16.764667510986328
2016-04-28,21.477144241333008,43.90645980834961,34.98862838745117,30.100000381469727,115.92025756835938,0.8862283229827881,16.513999938964844
2016-04-29,21.230281829833984,43.88006591796875,35.128578186035156,32.97949981689453,116.76435852050781,0.8698257803916931,16.05066680908203
2016-05-02,21.20763397216797,44.53118896484375,35.452632904052734,34.192501068115234,117.74749755859375,0.8813321590423584,16.1200008392334
2016-05-03,21.55640983581543,43.80087661743164,35.1563720703125,33.566001892089844,116.61540222167969,0.870805025100708,15.48799991607666
2016-05-04,21.33219337463379,43.88006591796875,35.30177307128906,33.54499816894531,117.24103546142578,0.8509750366210938,14.837332725524902
2016-05-05,21.245609283447266,43.9416618347168,35.4675178527832,32.954498291015625,116.99275970458984,0.8561161160469055,14.10200023651123
2016-05-06,21.127120971679688,44.33761215209961,35.987091064453125,33.6974983215332,118.66110229492188,0.8649296760559082,14.328666687011719
2016-05-09,21.143070220947266,44.056034088134766,36.18311309814453,33.98749923706055,118.41285705566406,0.863705575466156,13.928000450134277
2016-05-10,21.286619186401367,44.891944885253906,36.69176483154297,35.153499603271484,119.66410827636719,0.8803529143333435,13.912667274475098
2016-05-11,21.079267501831055,44.91832733154297,36.253578186035156,35.6614990234375,118.69091033935547,0.8828009963035583,13.93066692352295
2016-05-12,20.584806442260742,45.32308578491211,36.13051223754883,35.89649963378906,119.44562530517578,0.870805025100708,13.8186674118042
2016-05-13,20.625829696655273,44.944740295410156,35.96971893310547,35.49599838256836,118.97888946533203,1.0032496452331543,13.840666770935059
2016-05-16,21.391433715820312,45.604652404785156,36.241172790527344,35.53300094604492,117.84680938720703,1.032872200012207,13.88599967956543
2016-05-17,21.302579879760742,44.754051208496094,35.739463806152344,34.76350021362305,116.53596496582031,1.0350755453109741,13.644000053405762
2016-05-18,21.546384811401367,45.01987075805664,35.818363189697266,34.872501373291016,116.83387756347656,1.0615155696868896,14.07800006866455
2016-05-19,21.464353561401367,44.58572006225586,35.497291564941406,34.92599868774414,115.99969482421875,1.0661669969558716,14.347332954406738
2016-05-20,21.696773529052734,44.85150909423828,35.81489181518555,35.13999938964844,116.53596496582031,1.0852625370025635,14.685333251953125
2016-05-23,21.97247314453125,44.32875061035156,35.59356689453125,34.837501525878906,115.16553497314453,1.086976408958435,14.414667129516602
2016-05-24,22.30743408203125,45.710975646972656,36.376651763916016,35.209999084472656,116.88353729248047,1.1133618354797363,14.52733325958252
2016-05-25,22.699350357055664,46.18056869506836,36.62824630737305,35.41749954223633,117.07221221923828,1.108698844909668,14.638667106628418
2016-05-26,22.879364013671875,45.97679138183594,36.57018280029297,35.74549865722656,118.6412582397461,1.1204804182052612,15.008000373840332
2016-05-27,22.865692138671875,46.357784271240234,37.09968566894531,35.61199951171875,118.55187225341797,1.1266160011291504,14.869333267211914
2016-05-31,22.7540340423584,46.960304260253906,37.16172409057617,36.13949966430664,117.98583984375,1.1467432975769043,14.881999969482422
2016-06-01,22.435039520263672,46.827396392822266,37.142364501953125,35.97200012207031,117.95603942871094,1.1489524841308594,14.637332916259766
2016-06-02,22.266416549682617,46.499549865722656,36.9344367980957,36.4119987487793,118.10499572753906,1.1570523977279663,14.597332954406738
2016-06-03,22.31199073791504,45.88819885253906,36.51708221435547,36.277000427246094,117.64820098876953,1.140852928161621,14.599332809448242
2016-06-06,22.473766326904297,46.18943786621094,36.22926330566406,36.33649826049805,117.96598052978516,1.1349616050720215,14.711999893188477
2016-06-07,22.564912796020508,46.16284942626953,36.28037643432617,36.1870002746582,116.94310760498047,1.137170433998108,15.489333152770996
2016-06-08,22.54441261291504,46.10969543457031,36.86793899536133,36.332000732421875,117.5687484741211,1.1334888935089111,15.701333045959473
2016-06-09,22.706188201904297,45.73755645751953,36.84758758544922,36.38249969482422,117.73755645751953,1.1629432439804077,15.290666580200195
2016-06-10,22.51934051513672,45.61351013183594,36.38459014892578,35.89550018310547,115.81102752685547,1.1339799165725708,14.586000442504883
2016-06-13,22.179828643798828,44.42621612548828,36.319580078125,35.762001037597656,113.1595458984375,1.1484614610671997,14.524666786193848
2016-06-14,22.207172393798828,44.15155029296875,36.38756561279297,35.96500015258789,114.1426773071289,1.1506706476211548,14.330666542053223
2016-06-15,22.13425636291504,44.027488708496094,36.3349609375,35.7130012512207,113.80503845214844,1.1624518632888794,14.513333320617676
2016-06-16,22.227680206298828,44.647727966308594,35.94093704223633,35.8754997253418,113.59649658203125,1.1671156883239746,14.528667449951172
2016-06-17,21.72183609008789,44.417354583740234,34.94844055175781,35.31949996948242,112.23599243164062,1.1467432975769043,14.364666938781738
2016-06-20,21.66942596435547,44.36418151855469,35.04172897338867,35.70050048828125,112.58357238769531,1.1673614978790283,14.646666526794434
2016-06-21,21.853992462158203,45.356544494628906,35.17820358276367,35.79100036621094,113.58656311035156,1.1602435111999512,14.640666961669922
2016-06-22,21.7719669342041,45.17934799194336,35.257102966308594,35.529998779296875,113.11983489990234,1.1592612266540527,13.11066722869873
2016-06-23,21.89728546142578,45.994510650634766,35.47545623779297,36.104000091552734,114.28170776367188,1.190187692642212,13.09333324432373
2016-06-24,21.28206443786621,44.15155029296875,34.00307846069336,34.948001861572266,111.30252075195312,1.1224440336227417,12.876667022705078
2016-06-27,20.97218132019043,42.91107940673828,33.80160140991211,34.56800079345703,108.21409606933594,1.1104168891906738,13.236666679382324
2016-06-28,21.325361251831055,43.80598068237305,34.303810119628906,35.397499084472656,111.91822052001953,1.1266160011291504,13.452667236328125
2016-06-29,21.509931564331055,44.78062057495117,34.49884033203125,35.779998779296875,113.36809539794922,1.1450248956680298,14.012666702270508
2016-06-30,21.783355712890625,45.338844299316406,34.91270446777344,35.78099822998047,113.48725891113281,1.1538612842559814,14.152000427246094
2016-07-01,21.849435806274414,45.329978942871094,35.24618911743164,36.284000396728516,113.39788055419922,1.1452702283859253,14.433333396911621
2016-07-05,21.644365310668945,45.338844299316406,34.98019790649414,36.404998779296875,113.40780639648438,1.1622065305709839,14.26533317565918
2016-07-06,21.76740837097168,45.524898529052734,35.182674407958984,36.88050079345703,115.89047241210938,1.1695704460144043,14.295999526977539
2016-07-07,21.86082649230957,45.524898529052734,35.097808837890625,36.82849884033203,115.04635620117188,1.2000055313110352,14.395999908447266
2016-07-08,22.02944564819336,46.34007263183594,35.61986541748047,37.29050064086914,116.42671203613281,1.2481144666671753,14.45199966430664
2016-07-11,22.097803115844727,46.59701919555664,36.087337493896484,37.68899917602539,117.0523681640625,1.276831865310669,14.985333442687988
2016-07-12,22.198062896728516,47.146366119384766,36.35084533691406,37.410499572753906,117.11193084716797,1.295976996421814,14.976667404174805
2016-07-13,22.07274055480957,47.41217803955078,36.200477600097656,37.131500244140625,115.96991729736328,1.2954862117767334,14.835332870483398
2016-07-14,22.51022720336914,47.615962982177734,36.51410675048828,37.060001373291016,116.47637939453125,1.3087408542633057,14.768667221069336
2016-07-15,22.50794792175293,47.58053207397461,36.505672454833984,36.77199935913086,116.04936218261719,1.293522834777832,14.69333267211914
2016-07-18,22.747201919555664,47.8109016418457,37.377586364746094,36.80350112915039,118.54193878173828,1.3001500368118286,15.083333015441895
2016-07-19,22.756315231323242,47.04003143310547,37.38800811767578,36.997501373291016,119.77334594726562,1.3136497735977173,15.017333030700684
2016-07-20,22.776826858520508,49.53867721557617,37.570133209228516,37.2859992980957,121.07424926757812,1.3308310508728027,15.223999977111816
2016-07-21,22.65605926513672,49.441226959228516,37.43762969970703,37.221500396728516,119.77334594726562,1.3062856197357178,14.699999809265137
2016-07-22,22.480606079101562,50.123470306396484,37.67931365966797,37.24300003051758,120.16065216064453,1.3418761491775513,14.817999839782715
2016-07-25,22.179828643798828,50.26523971557617,37.59196472167969,36.980499267578125,120.78627014160156,1.3666671514511108,15.333999633789062
2016-07-26,22.02716636657715,50.29181671142578,37.598419189453125,36.77949905395508,120.37911224365234,1.3899844884872437,15.300666809082031
2016-07-27,23.458126068115234,49.786773681640625,37.81279754638672,36.833499908447266,122.4843978881836,1.3759937286376953,15.232666969299316
2016-07-28,23.77484893798828,49.804500579833984,38.004844665527344,37.63050079345703,124.13290405273438,1.3789392709732056,15.37399959564209
2016-07-29,23.745227813720703,50.220947265625,39.270286560058594,37.94049835205078,123.08024597167969,1.4015206098556519,15.652667045593262
2016-08-01,24.16448402404785,50.13233184814453,39.74668884277344,38.387001037597656,123.44766998291016,1.3924394845962524,15.333999633789062
2016-08-02,23.806745529174805,50.13233184814453,39.70599365234375,38.02899932861328,122.23613739013672,1.3755028247833252,15.146666526794434
2016-08-03,24.10524559020996,50.47788619995117,39.64644241333008,37.731998443603516,121.66016387939453,1.379184603691101,15.052666664123535
2016-08-04,24.254152297973633,50.85002899169922,39.563568115234375,38.03850173950195,123.4973373413086,1.4047116041183472,15.37399959564209
2016-08-05,24.622995376586914,51.35507583618164,40.04393768310547,38.29899978637695,124.28184509277344,1.4285207986831665,15.335332870483398
2016-08-08,24.826892852783203,51.44367599487305,39.95957946777344,38.327999114990234,124.3910903930664,1.4417747259140015,15.077333450317383
2016-08-09,24.927690505981445,51.567726135253906,40.071231842041016,38.41550064086914,124.19247436523438,1.4454563856124878,15.272000312805176
2016-08-10,24.74212646484375,51.408233642578125,40.12135314941406,38.428001403808594,124.01372528076172,1.4361289739608765,15.043333053588867
2016-08-11,24.726085662841797,51.65633010864258,40.10696029663086,38.5620002746582,124.03358459472656,1.4653377532958984,14.994000434875488
2016-08-12,24.783361434936523,51.33734130859375,40.049896240234375,38.62799835205078,124.01372528076172,1.5473181009292603,15.040666580200195
2016-08-15,25.08119010925293,51.496826171875,39.99580764770508,38.42449951171875,123.04053497314453,1.5458451509475708,15.03933334350586
2016-08-16,25.058271408081055,51.2115364074707,39.759098052978516,38.20199966430664,122.44469451904297,1.5365186929702759,14.907333374023438
2016-08-17,25.021615982055664,51.318519592285156,39.96900939941406,38.23149871826172,123.50727081298828,1.5009280443191528,14.88266658782959
2016-08-18,24.989547729492188,51.354183197021484,39.836509704589844,38.222999572753906,123.05046081542969,1.5242457389831543,14.900667190551758
2016-08-19,25.053688049316406,51.37200927734375,39.68266677856445,37.865501403808594,122.702880859375,1.5281728506088257,15.0
2016-08-22,24.85896873474121,51.416587829589844,39.54867935180664,37.9739990234375,123.2887954711914,1.5345547199249268,14.862000465393066
2016-08-23,24.936857223510742,51.612728118896484,39.530818939208984,38.122501373291016,123.50727081298828,1.5469725131988525,14.989333152770996
2016-08-24,24.74899673461914,51.66623306274414,39.3824348449707,37.86249923706055,122.62344360351562,1.5231199264526367,14.841333389282227
2016-08-25,24.64361572265625,51.86238098144531,39.2682991027832,37.96099853515625,123.03059387207031,1.513038158416748,14.730667114257812
2016-08-26,24.499282836914062,51.737548828125,39.36357879638672,38.45000076293945,124.0931625366211,1.5253331661224365,14.666000366210938
2016-08-29,24.471792221069336,51.79997253417969,39.49259948730469,38.56449890136719,125.6622085571289,1.524349570274353,14.346667289733887
2016-08-30,24.28394317626953,51.612728118896484,39.299068450927734,38.37900161743164,124.9670639038086,1.5154972076416016,14.089332580566406
2016-08-31,24.306846618652344,51.229366302490234,39.19634246826172,38.45800018310547,125.24513244628906,1.5083658695220947,14.133999824523926
2016-09-01,24.45117950439453,51.345279693603516,39.27326202392578,38.53099822998047,125.2947769165039,1.552874207496643,13.38466739654541
