Date,MU,AMD,NFLX,INTC,QCOM,CRM,ORCL
2016-03-07,11.298569679260254,2.4700000286102295,9.548999786376953,24.66753578186035,40.33182144165039,69.643798828125,33.025604248046875
2016-03-08,10.40092945098877,2.299999952316284,9.623000144958496,24.364580154418945,39.69619369506836,68.98184967041016,32.84480667114258
2016-03-09,10.547283172607422,2.259999990463257,9.800000190734863,24.611730575561523,39.310272216796875,70.18720245361328,33.12891387939453
2016-03-10,10.615583419799805,2.259999990463257,9.736000061035156,24.91469383239746,39.36323928833008,69.85128021240234,32.75870132446289
2016-03-11,11.113186836242676,2.5199999809265137,9.765999794006348,25.321304321289062,39.514591217041016,70.7701187133789,33.53355026245117
2016-03-14,10.879018783569336,2.7200000286102295,9.812999725341797,25.058202743530273,39.41621017456055,71.3530502319336,33.31830978393555
2016-03-15,10.586313247680664,2.490000009536743,9.78600025177002,25.233606338500977,39.0681266784668,70.83927917480469,33.352745056152344
2016-03-16,10.459468841552734,2.630000114440918,9.9350004196167,25.2654972076416,38.81843185424805,71.85691833496094,34.6269416809082
2016-03-17,10.60582447052002,2.799999952316284,9.972000122070312,25.496702194213867,38.87895965576172,71.8470458984375,34.96270751953125
2016-03-18,10.869264602661133,2.930000066757202,10.112000465393066,26.054798126220703,39.03786849975586,71.77787780761719,35.71171951293945
2016-03-21,11.249783515930176,2.799999952316284,10.105999946594238,25.783720016479492,39.507022857666016,71.3826904296875,35.82365417480469
2016-03-22,11.161971092224121,2.7899999618530273,9.984000205993652,25.767776489257812,39.36323928833008,71.9754867553711,35.62564468383789
2016-03-23,10.391169548034668,2.680000066757202,9.958999633789062,25.512649536132812,38.5838508605957,70.9183349609375,35.08323669433594
2016-03-24,10.244816780090332,2.7899999618530273,9.836000442504883,25.41697883605957,38.4854736328125,71.5704116821289,35.27263641357422
2016-03-28,10.127734184265137,2.7799999713897705,10.121000289916992,25.432920455932617,37.978492736816406,71.08627319335938,34.97132110595703
2016-03-29,10.196032524108887,2.859999895095825,10.413000106811523,25.815608978271484,38.35684585571289,71.43207550048828,35.04018020629883
2016-03-30,10.225299835205078,2.859999895095825,10.218999862670898,26.078712463378906,38.5838508605957,73.4080810546875,35.27263641357422
2016-03-31,10.215547561645508,2.8499999046325684,10.222999572753906,25.791688919067383,38.697364807128906,72.94371795654297,35.22098922729492
2016-04-01,10.76193618774414,2.8299999237060547,10.569999694824219,25.87141990661621,38.500614166259766,74.82091522216797,35.43621826171875
2016-04-04,10.537527084350586,2.8299999237060547,10.4350004196167,25.512649536132812,38.32657241821289,74.7813949584961,35.358741760253906
2016-04-05,10.147247314453125,2.759999990463257,10.494000434875488,25.432920455932617,37.88768768310547,73.68470764160156,34.89383316040039
2016-04-06,10.215547561645508,2.799999952316284,10.482999801635742,25.576431274414062,38.30386734008789,74.67271423339844,35.08323669433594
